,Bidding Zone,Installed Capacity [MW],Name,Production Type,Voltage Connection Level [kV]
11WD43VIWXHOILLM,10YDE-ENBW-----N,2142,Vorarlberger Illwerke AG,Hydro Pumped Storage,220
11WD4HLBR1CS---A,10YDE-ENBW-----N,778,HKW Heilbronn,Fossil Hard coal,380
11WD4SWSW5HD4--R,10YDE-ENBW-----N,258,Schluchseewerk AG,Hydro Pumped Storage,220
11WD4KWRHF5-S--Z,10YDE-ENBW-----N,100,KW Rheinfelden DE,Hydro Run-of-river and poundage,220
11WD4IFFE5G----Z,10YDE-ENBW-----N,146,Rheinkraftwerk Iffezheim,Hydro Run-of-river and poundage,110
11WD4WALK5G----E,10YDE-ENBW-----N,136,Kraftwerk Walheim,Fossil Oil,110
11WD4KWLFB5-S--M,10YDE-ENBW-----N,106,KW Laufenburg,Hydro Run-of-river and poundage,220
11WD4MUST5G----B,10YDE-ENBW-----N,178.9,HKW Stuttgart-Münster,Waste,110
11WD4GKM-2CD4--J,10YDE-ENBW-----N,1037.3,GKM AG TNG,Fossil Hard coal,220
11WD4SAEK2HS---S,10YDE-ENBW-----N,180,Schluchseewerk AG,Hydro Pumped Storage,220
11WD4WEHR1HS---G,10YDE-ENBW-----N,455,Schluchseewerk AG,Hydro Pumped Storage,220
11WD4AL1KU1-S--E,10YDE-ENBW-----N,595,HKW Altbach/Deizisau,Fossil Hard coal,380
11WD4GKNK1S----S,10YDE-ENBW-----N,1320,Kernkraftwerk Neckarwestheim,Nuclear,380
11WD4KKP21N-S--O,10YDE-ENBW-----N,1402,KKW Philippsburg,Nuclear,380
11WD4DAXLA-S---T,10YDE-ENBW-----N,1347,Rheinhafen-Dampfkraftwerk Karlsruhe,Fossil Hard coal,380
11WD4GKM-XCD0--3,10YDE-ENBW-----N,254,GKM AG DBEnergie,Fossil Hard coal,110
11WD7HUCK2G--KWR,10YDE-RWENET---I,600,Huckingen (HKM),Fossil Coal-derived gas,220
11WD7GARE5XHEKWQ,10YDE-RWENET---I,424,HERDECKE,Fossil Gas,110
11WD7LUDW5GSUEDE,10YDE-RWENET---I,345,GuD Ludwigshafen Süd,Fossil Gas,110
11WD7BISC5GKW23O,10YDE-RWENET---I,785,KW Mainz-Wiesbaden,Fossil Gas,110
11WD7BRAU5G-KW-N,10YDE-RWENET---I,562,GuD Dormagen,Fossil Gas,110
11WD7UCHT5XROSOK,10YDE-RWENET---I,125,Kraftwerk Römerbrücke,Fossil Gas,110
11WD7NORF5G--KWG,10YDE-RWENET---I,1145,Kraftwerk Lausward,Fossil Gas,110
11WD72VIA2H-KW-0,10YDE-RWENET---I,1294,Vianden,Hydro Pumped Storage,220
11WD4GKM-2CD7--7,10YDE-RWENET---I,691.7,GKM AG Amprion,Fossil Hard coal,220
11WD7ENSD5SKW3-E,10YDE-RWENET---I,283,Ensdorf,Fossil Hard coal,110
11WD7GARE5X-PSWB,10YDE-RWENET---I,140,PSW-ROENK-KW,Hydro Pumped Storage,110
11WD7KWKN1GBL203,10YDE-RWENET---I,426,Knapsack 2,Fossil Gas,380
11WD7WEIS-B-KW-C,10YDE-RWENET---I,2389,Weisweiler,Fossil Brown coal/Lignite,380
11WD7KWKN----KW1,10YDE-RWENET---I,784,Knapsack 1,Fossil Gas,380
11WD7IBBE2S--KW6,10YDE-RWENET---I,791,Ibbenbüren,Fossil Hard coal,380
11WD7NIED-B-KW-5,10YDE-RWENET---I,2795,Niederaußem,Fossil Brown coal/Lignite,380
11WD7ELLE5X--KWV,10YDE-RWENET---I,189.1,Kraftwerk Flingern,Waste,110
11WD7NEUR-B-KW-B,10YDE-RWENET---I,4212,Neurath,Fossil Brown coal/Lignite,380
11WD7BEEC5XRUKWN,10YDE-RWENET---I,320,RUHRORT-KW,Fossil Coal-derived gas,110
11WD7GARE5XELKWD,10YDE-RWENET---I,325,Elverlingsen,Fossil Hard coal,110
11WD7RHAU5G-3--3,10YDE-RWENET---I,274,HKW III,Fossil Gas,110
11WD7ENSD2SKW1-4,10YDE-RWENET---I,106,Kraftwerk Ensdorf,Fossil Hard coal,220
11WD7LUDW2GA800M,10YDE-RWENET---I,412,GuD Ludwigshafen Mitte,Fossil Gas,220
