Report generated on: 03-15-2022 08:31:49,,,,,,,,,,,,,,,,,,,,,,,
International_data,,,,,,,,,,,,,,,,,,,,,,,
http://www.eia.gov/beta/international/data/browser/#/?pa=000000000000000000000000000000g&c=1028i008006gg6168g80a4k000e0ag00gg0004g800ho00g8&ct=0&ug=8&tl_id=2-A&vs=INTL.33-12-ALB-BKWH.A&cy=2014&vo=0&v=H&start=2000&end=2014,,,,,,,,,,,,,,,,,,,,,,,
Source: U.S. Energy Information Administration,,,,,,,,,,,,,,,,,,,,,,,
,,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
,hydroelectricity net generation (billion kWh),Billion Kwh,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
INTL.33-12-ALB-BKWH.A,        Albania,Billion Kwh,4.548,3.519,3.477,5.117,5.411,5.319,4.951,2.76,3.759,5.201,7.49133,4.09068,4.67775,6.88941,4.67676,5.83605,7.70418,4.47975,8.46648,5.15394,5.281
INTL.33-12-AUT-BKWH.A,        Austria,Billion Kwh,41.418,40.05,39.825,32.883,36.394,36.31,35.48,36.732,37.969,40.487,36.466,32.511,41.862,40.138,39.001,35.255,37.954,36.462,35.73,40.43655,45.344
INTL.33-12-BEL-BKWH.A,        Belgium,Billion Kwh,0.455,0.437,0.356,0.245,0.314,0.285,0.355,0.385,0.406,0.325,0.298,0.193,0.353,0.376,0.289,0.314,0.367,0.268,0.311,0.108,1.29
INTL.33-12-BIH-BKWH.A,        Bosnia and Herzegovina,Billion Kwh,5.043,5.129,5.215,4.456,5.919,5.938,5.798,3.961,4.818,6.177,7.946,4.343,4.173,7.164,5.876,5.495,5.585,3.7521,6.35382,6.02019,6.1
INTL.33-12-BGR-BKWH.A,        Bulgaria,Billion Kwh,2.646,1.72,2.172,2.999,3.136,4.294,4.196,2.845,2.796,3.435,4.98168,2.84328,3.14622,3.99564,4.55598,5.59845,3.8412,2.79972,5.09553,3.34917,3.37
INTL.33-12-HRV-BKWH.A,        Croatia,Billion Kwh,5.794,6.482,5.311,4.827,6.888,6.27,5.94,4.194,5.164,6.663,9.035,4.983,4.789,8.536,8.917,6.327,6.784,5.255,7.62399,5.87268,3.4
INTL.33-12-CYP-BKWH.A,        Cyprus,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
